county_id,amt,cont_cnt,pop,amt_per_cap,cnt_per_cap,urban_rural
2105,2534.0,44.0,4302,0.5890283589028359,0.010227801022780102,uc
2110,259303.0,2140.0,64226,4.037352474075919,0.033319839317410394,ua
2122,160471.0,1918.0,117066,1.3707737515589498,0.0163839201817778,ua
2130,48818.0,402.0,27836,1.7537720936916223,0.01444173013363989,uc
2150,36857.0,466.0,26690,1.3809291869614089,0.017459722742600225,uc
2164,835.0,6.0,3174,0.2630749842470069,0.001890359168241966,uc
2170,189585.0,2291.0,215220,0.880889322553666,0.010644921475699284,ua
2180,12645.0,349.0,20016,0.6317446043165468,0.017436051159072742,uc
2185,17786.0,175.0,19744,0.9008306320907618,0.008863452188006483,uc
2188,10023.0,232.0,15342,0.6533046538912789,0.015121887628731586,uc
2195,70642.0,222.0,6442,10.965849115181621,0.03446134740763738,uc
