zip,amt,cont_cnt,state_id
7006,57994.0,260,NJ
7007,0.0,0,NJ
7008,10113.0,161,NJ
7009,20497.0,204,NJ
7010,82379.0,505,NJ
7011,14038.0,131,NJ
7012,10274.0,64,NJ
7013,8796.0,104,NJ
7014,3820.0,89,NJ
7015,470.0,11,NJ
7016,28543.0,293,NJ
7017,6730.0,97,NJ
7018,2933.0,61,NJ
7019,400.0,1,NJ
7020,98693.0,475,NJ
7021,131208.0,171,NJ
7022,5324.0,141,NJ
7023,37174.0,151,NJ
7024,240965.0,1195,NJ
7026,22480.0,668,NJ
7027,7866.0,58,NJ
7028,91855.0,544,NJ
7029,18706.0,383,NJ
7030,429597.0,2571,NJ
7031,15925.0,401,NJ
7032,24543.0,557,NJ
7033,113592.0,690,NJ
7034,17586.0,49,NJ
7035,14117.0,132,NJ
7036,24674.0,536,NJ
7039,218096.0,466,NJ
7040,81626.0,641,NJ
7041,111081.0,290,NJ
7042,205774.0,951,NJ
7043,121551.0,499,NJ
7044,49452.0,287,NJ
7045,23327.0,142,NJ
7046,32802.0,104,NJ
7047,68886.0,705,NJ
7050,8966.0,178,NJ
7051,1482.0,9,NJ
7052,76919.0,732,NJ
7054,42000.0,324,NJ
7055,7373.0,321,NJ
7057,4516.0,126,NJ
7058,9359.0,23,NJ
7059,180120.0,443,NJ
7060,10224.0,178,NJ
7061,0.0,0,NJ
7062,1072.0,17,NJ
7063,4285.0,113,NJ
7064,6329.0,126,NJ
7065,6950.0,259,NJ
7066,14344.0,140,NJ
7067,25822.0,308,NJ
7068,141192.0,348,NJ
7069,350809.0,299,NJ
7070,69470.0,715,NJ
7071,21711.0,168,NJ
7072,33514.0,53,NJ
7073,16280.0,94,NJ
7074,2502.0,13,NJ
7075,9509.0,123,NJ
7076,37948.0,427,NJ
7077,980.0,12,NJ
7078,700124.0,899,NJ
7079,60514.0,589,NJ
7080,22730.0,182,NJ
7081,19006.0,153,NJ
7082,9356.0,90,NJ
7083,60915.0,1244,NJ
7086,161228.0,881,NJ
7087,33025.0,483,NJ
7088,2578.0,33,NJ
7090,89699.0,451,NJ
7091,2672.0,11,NJ
7092,47822.0,214,NJ
7093,57997.0,439,NJ
7094,91926.0,166,NJ
7095,121194.0,515,NJ
7096,3100.0,2,NJ
7097,0.0,0,NJ
7099,0.0,0,NJ
7101,1701.0,10,NJ
7102,45145.0,161,NJ
7103,12433.0,27,NJ
7104,14858.0,150,NJ
7105,39984.0,1012,NJ
7106,3138.0,88,NJ
7107,7753.0,277,NJ
7108,1264.0,44,NJ
7109,20634.0,367,NJ
7110,14019.0,255,NJ
7111,9253.0,225,NJ
7112,3905.0,107,NJ
7114,4799.0,80,NJ
7175,0.0,0,NJ
