county_id,amt,cont_cnt
13059,425962.0,3387
13061,19186.0,59
13063,533670.0,5263
13065,23237.0,77
13067,3881386.0,26926
13069,66151.0,299
13071,105356.0,479
13073,512140.0,3261
13075,25941.0,264
13077,310382.0,2827
13079,30531.0,345
13081,45364.0,203
13083,24333.0,145
13085,224289.0,2178
13087,78076.0,187
13089,9306494.0,48496
13091,89620.0,797
13093,33369.0,166
13095,123678.0,816
13097,292095.0,3240
13099,43410.0,194
13101,14667.0,85
13103,59224.0,764
13105,18528.0,205
13107,49653.0,333
13109,54763.0,411
13111,88019.0,1059
13113,581075.0,5430
13115,273097.0,1419
13117,2499660.0,10928
13119,79841.0,622
13121,27804597.0,83752
13123,127788.0,1581
13125,3180.0,63
13127,298341.0,1345
13129,59176.0,809
13131,198322.0,720
13133,267711.0,2022
13135,3248249.0,21434
13137,135012.0,789
13139,893875.0,6009
13141,107985.0,725
13143,43250.0,308
13145,207963.0,1317
13147,76746.0,671
13149,140559.0,1171
13151,350608.0,3773
13153,290112.0,3576
13155,68520.0,219
13157,307334.0,2430
13159,104942.0,726
13161,36027.0,207
13163,14570.0,84
13165,6230.0,42
13167,15210.0,245
13169,207838.0,1052
13171,89713.0,624
13173,44972.0,321
13175,182468.0,913
13177,97562.0,635
13179,26822.0,1020
13181,13172.0,172
13183,23135.0,927
13185,115836.0,743
13187,148399.0,1676
13189,50000.0,275
13191,9896.0,77
13193,98852.0,547
13195,74906.0,563
13197,4835.0,36
13199,122983.0,868
13201,36673.0,167
13205,57119.0,194
13207,241031.0,1245
13209,17313.0,158
13211,111069.0,807
13213,48362.0,750
13215,956977.0,4634
13217,209337.0,2304
13219,518957.0,4004
13221,25692.0,215
13223,388478.0,4402
13225,67179.0,409
13227,174910.0,1995
13229,51217.0,278
13231,52331.0,385
13233,39145.0,351
13235,61553.0,519
13237,141115.0,959
13239,785.0,5
13241,86564.0,860
13243,14027.0,185
13245,532167.0,2738
13247,261400.0,3649
13249,8508.0,38
13251,15838.0,78
13253,19158.0,137
13255,115517.0,1391
13257,47028.0,166
13259,2670.0,26
13261,30454.0,179
13263,10431.0,126
13265,18618.0,173
13267,45335.0,281
13269,50697.0,205
13271,4955.0,72
13273,83140.0,276
13275,469526.0,935
13277,135905.0,517
13279,31484.0,242
13281,42787.0,431
13283,21123.0,191
13285,142646.0,672
13287,25502.0,61
13289,31890.0,680
13291,121657.0,1523
13293,61964.0,254
13295,92808.0,934
13297,285812.0,3028
13299,81764.0,359
13301,18272.0,223
13303,64815.0,454
13305,43720.0,287
13307,2535.0,10
13309,3170.0,50
13311,159025.0,1442
13313,128033.0,1071
13315,52621.0,245
13317,31627.0,338
13319,196028.0,1261
13321,102091.0,385
15001,639599.0,6055
15003,2225033.0,18376
15005,0.0,0
15007,220316.0,2504
